127.0.0.1 - - [20/Jan/2026:14:26:18 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:26:25 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:26:25 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:26:25 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:26:25 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:26:39 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:26:39 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:26:56 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:26:56 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:27:14 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:44:40 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:46:20 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:49:43 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:49:45 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:49:46 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:49:47 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:49:47 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:49:47 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:49:48 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:49:55 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:50:04 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:50:13 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:50:16 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:50:17 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:50:18 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:50:18 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:50:18 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:50:18 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:50:19 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:50:19 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:50:21 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:50:21 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:50:21 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [20/Jan/2026:14:50:26 +0530] "GET /Jsp-Servelet/index.jsp HTTP/1.1" 200 191
